event,path
['pass'],./videos/throwin/test_7.mp4
['pass'],./videos/throwin/test_101.mp4
['cross'],./videos/throwin/test_119.mp4
['cross'],./videos/throwin/test_162.mp4
['pass'],./videos/throwin/test_265.mp4
['pass'],./videos/throwin/test_304.mp4
['pass'],./videos/throwin/test_311.mp4
['pass'],./videos/throwin/test_330.mp4
['pass'],./videos/throwin/test_334.mp4
['pass'],./videos/throwin/test_437.mp4
['pass'],./videos/throwin/test_551.mp4
['cross'],./videos/throwin/test_584.mp4
['pass'],./videos/throwin/test_614.mp4
['pass'],./videos/throwin/test_618.mp4
['pass'],./videos/throwin/test_696.mp4
['pass'],./videos/throwin/test_734.mp4
['pass'],./videos/throwin/test_781.mp4
['pass'],./videos/throwin/test_796.mp4
['pass'],./videos/throwin/test_827.mp4
['pass'],./videos/throwin/test_859.mp4
['pass'],./videos/throwin/test_943.mp4
['pass'],./videos/throwin/test_1444.mp4
['pass'],./videos/throwin/test_1473.mp4
['pass'],./videos/throwin/test_1502.mp4
['cross'],./videos/throwin/test_1594.mp4
['pass'],./videos/throwin/test_1651.mp4
['pass'],./videos/throwin/test_1770.mp4
['pass'],./videos/throwin/test_1797.mp4
['pass'],./videos/throwin/test_1823.mp4
['pass'],./videos/throwin/test_1864.mp4
['cross'],./videos/throwin/test_1896.mp4
['pass'],./videos/throwin/test_1912.mp4
['pass'],./videos/throwin/test_2111.mp4
['cross'],./videos/throwin/test_2216.mp4
['pass'],./videos/throwin/test_2256.mp4
['pass'],./videos/throwin/test_2272.mp4
['pass'],./videos/throwin/test_2514.mp4
['pass'],./videos/throwin/test_2613.mp4
['pass'],./videos/throwin/test_2768.mp4
['pass'],./videos/throwin/test_2781.mp4
['pass'],./videos/throwin/test_2817.mp4
['pass'],./videos/throwin/test_2977.mp4
['pass'],./videos/throwin/test_3667.mp4
['pass'],./videos/throwin/test_3749.mp4
['pass'],./videos/throwin/test_3837.mp4
['pass'],./videos/throwin/test_3852.mp4
['pass'],./videos/throwin/test_3918.mp4
['pass'],./videos/throwin/test_4070.mp4
['pass'],./videos/throwin/test_4087.mp4
['pass'],./videos/throwin/test_4153.mp4
['pass'],./videos/throwin/test_4182.mp4
['pass'],./videos/throwin/test_4209.mp4
['pass'],./videos/throwin/test_4221.mp4
['pass'],./videos/throwin/test_4255.mp4
['pass'],./videos/throwin/test_4335.mp4
['cross'],./videos/throwin/test_4352.mp4
['pass'],./videos/throwin/test_4398.mp4
['pass'],./videos/throwin/test_4401.mp4
['pass'],./videos/throwin/test_4407.mp4
['pass'],./videos/throwin/test_4610.mp4
['pass'],./videos/throwin/test_4661.mp4
['pass'],./videos/throwin/test_4694.mp4
['cross'],./videos/throwin/test_4837.mp4
['pass'],./videos/throwin/test_4864.mp4
['pass'],./videos/throwin/test_4897.mp4
['pass'],./videos/throwin/test_5094.mp4
['cross'],./videos/throwin/test_5146.mp4
['pass'],./videos/throwin/test_5216.mp4
['pass'],./videos/throwin/test_5350.mp4
['pass'],./videos/throwin/test_5398.mp4
['cross'],./videos/throwin/test_5424.mp4
['pass'],./videos/throwin/test_5482.mp4
['pass'],./videos/throwin/test_5625.mp4
['pass'],./videos/throwin/test_5675.mp4
['pass'],./videos/throwin/test_5725.mp4
['cross'],./videos/throwin/test_5766.mp4
['pass'],./videos/throwin/test_5778.mp4
['pass'],./videos/throwin/test_5847.mp4
['pass'],./videos/throwin/test_5984.mp4
['pass'],./videos/throwin/test_6029.mp4
['cross'],./videos/throwin/test_6145.mp4
['pass'],./videos/throwin/test_6183.mp4
['pass'],./videos/throwin/test_6199.mp4
['pass'],./videos/throwin/test_6211.mp4
['pass'],./videos/throwin/test_6242.mp4
['pass'],./videos/throwin/test_6279.mp4
['pass'],./videos/throwin/test_6294.mp4
['pass'],./videos/throwin/test_6379.mp4
['pass'],./videos/throwin/test_6402.mp4
['pass'],./videos/throwin/test_6477.mp4
['pass'],./videos/throwin/test_6491.mp4
['pass'],./videos/throwin/test_6535.mp4
['pass'],./videos/throwin/test_6671.mp4
['pass'],./videos/throwin/test_6784.mp4
['pass'],./videos/throwin/test_7045.mp4
['pass'],./videos/throwin/test_7099.mp4
['pass'],./videos/throwin/test_7210.mp4
['pass'],./videos/throwin/test_7332.mp4
['pass'],./videos/throwin/test_7429.mp4
['pass'],./videos/throwin/test_7480.mp4
['pass'],./videos/throwin/test_7499.mp4
['pass'],./videos/throwin/test_7521.mp4
['pass'],./videos/throwin/test_7580.mp4
['pass'],./videos/throwin/test_7674.mp4
['pass'],./videos/throwin/test_7779.mp4
['pass'],./videos/throwin/test_7842.mp4
['pass'],./videos/throwin/test_7970.mp4
['pass'],./videos/throwin/test_8198.mp4
['pass'],./videos/throwin/test_8270.mp4
['pass'],./videos/throwin/test_8356.mp4
['pass'],./videos/throwin/test_8435.mp4
['pass'],./videos/throwin/test_8572.mp4
['pass'],./videos/throwin/test_8689.mp4
['pass'],./videos/throwin/test_8701.mp4
['pass'],./videos/throwin/test_8704.mp4
['pass'],./videos/throwin/test_8726.mp4
['pass'],./videos/throwin/test_8747.mp4
['pass'],./videos/throwin/test_8750.mp4
['cross'],./videos/throwin/test_8813.mp4
['pass'],./videos/throwin/test_8816.mp4
['pass'],./videos/throwin/test_8824.mp4
['pass'],./videos/throwin/test_8830.mp4
['pass'],./videos/throwin/test_8870.mp4
['cross'],./videos/throwin/test_8898.mp4
['pass'],./videos/throwin/test_8974.mp4
['pass'],./videos/throwin/test_8994.mp4
['cross'],./videos/throwin/test_9004.mp4
['pass'],./videos/throwin/test_9007.mp4
['pass'],./videos/throwin/test_9010.mp4
['pass'],./videos/throwin/test_9046.mp4
['pass'],./videos/throwin/test_9058.mp4
['cross'],./videos/throwin/test_9150.mp4
['pass'],./videos/throwin/test_9159.mp4
['pass'],./videos/throwin/test_9183.mp4
['cross'],./videos/throwin/test_9186.mp4
['pass'],./videos/throwin/test_9232.mp4
['pass'],./videos/throwin/test_9290.mp4
['pass'],./videos/throwin/test_9341.mp4
['pass'],./videos/throwin/test_9393.mp4
['pass'],./videos/throwin/test_9408.mp4
['pass'],./videos/throwin/test_9473.mp4
['pass'],./videos/throwin/test_9482.mp4
['pass'],./videos/throwin/test_9493.mp4
['pass'],./videos/throwin/test_9575.mp4
['pass'],./videos/throwin/test_9634.mp4
['pass'],./videos/throwin/test_9698.mp4
['pass'],./videos/throwin/test_9762.mp4
['pass'],./videos/throwin/test_9765.mp4
['cross'],./videos/throwin/test_9778.mp4
['pass'],./videos/throwin/test_9801.mp4
['pass'],./videos/throwin/test_9866.mp4
['pass'],./videos/throwin/test_9882.mp4
['pass'],./videos/throwin/test_9946.mp4
['pass'],./videos/throwin/test_9974.mp4
['pass'],./videos/throwin/test_10227.mp4
['pass'],./videos/throwin/test_10236.mp4
['pass'],./videos/throwin/test_10246.mp4
['pass'],./videos/throwin/test_10272.mp4
['pass'],./videos/throwin/test_10328.mp4
['pass'],./videos/throwin/test_10360.mp4
['pass'],./videos/throwin/test_10372.mp4
['pass'],./videos/throwin/test_10477.mp4
['pass'],./videos/throwin/test_10519.mp4
['pass'],./videos/throwin/test_10588.mp4
['pass'],./videos/throwin/test_10612.mp4
['pass'],./videos/throwin/test_10693.mp4
['pass'],./videos/throwin/test_10904.mp4
['pass'],./videos/throwin/test_10963.mp4
['pass'],./videos/throwin/test_10984.mp4
['pass'],./videos/throwin/test_10996.mp4
['pass'],./videos/throwin/test_11130.mp4
['pass'],./videos/throwin/test_11216.mp4
"['pass', 'openplay']",./videos/play/test_10.mp4
"['pass', 'openplay']",./videos/play/test_13.mp4
"['pass', 'openplay']",./videos/play/test_16.mp4
"['pass', 'openplay']",./videos/play/test_17.mp4
"['pass', 'openplay']",./videos/play/test_20.mp4
"['pass', 'openplay']",./videos/play/test_21.mp4
"['pass', 'openplay']",./videos/play/test_24.mp4
"['pass', 'openplay']",./videos/play/test_27.mp4
"['pass', 'openplay']",./videos/play/test_28.mp4
"['pass', 'openplay']",./videos/play/test_31.mp4
"['pass', 'openplay']",./videos/play/test_34.mp4
"['pass', 'openplay']",./videos/play/test_35.mp4
"['pass', 'openplay']",./videos/play/test_36.mp4
"['pass', 'openplay']",./videos/play/test_39.mp4
"['pass', 'openplay']",./videos/play/test_42.mp4
"['cross', 'openplay']",./videos/play/test_43.mp4
"['pass', 'openplay']",./videos/play/test_46.mp4
"['pass', 'openplay']",./videos/play/test_49.mp4
"['pass', 'openplay']",./videos/play/test_50.mp4
"['pass', 'openplay']",./videos/play/test_53.mp4
"['pass', 'openplay']",./videos/play/test_54.mp4
"['pass', 'openplay']",./videos/play/test_57.mp4
"['pass', 'openplay']",./videos/play/test_58.mp4
"['pass', 'openplay']",./videos/play/test_65.mp4
"['cross', 'openplay']",./videos/play/test_66.mp4
"['pass', 'openplay']",./videos/play/test_69.mp4
"['pass', 'openplay']",./videos/play/test_70.mp4
"['pass', 'freekick']",./videos/play/test_73.mp4
"['cross', 'openplay']",./videos/play/test_76.mp4
"['pass', 'openplay']",./videos/play/test_82.mp4
"['pass', 'openplay']",./videos/play/test_85.mp4
"['pass', 'openplay']",./videos/play/test_88.mp4
"['pass', 'openplay']",./videos/play/test_91.mp4
"['pass', 'openplay']",./videos/play/test_94.mp4
"['pass', 'openplay']",./videos/play/test_102.mp4
"['pass', 'openplay']",./videos/play/test_105.mp4
"['pass', 'openplay']",./videos/play/test_111.mp4
